"song_id","society_id","Religious","Dance","Mourning","Healing","Lullaby","group"
30004,21110,1,0,0,0,0,1
30005,21110,1,0,0,0,0,1
251,21132,0,1,0,0,0,1
9227,21132,1,1,0,0,0,1
9111,21132,0,1,0,0,0,1
2113,21242,0,1,0,0,0,1
3317,21242,0,1,0,0,0,1
9115,21253,0,1,0,0,0,1
9247,21737,0,1,0,0,0,1
698,21737,1,1,0,0,0,1
4401,21951,0,1,0,0,0,1
241,22166,0,1,0,0,0,1
2406,22166,0,1,0,0,0,1
2404,22166,0,1,0,0,0,1
2407,22166,0,1,0,0,0,1
2408,22166,0,1,0,0,0,1
2410,22166,0,1,0,0,0,1
2409,22166,0,1,0,0,0,1
2585,22276,0,1,0,0,0,0
2586,22276,0,1,0,0,0,1
2587,22276,0,1,0,0,0,1
2582,22276,0,0,1,0,0,0
270,22276,0,0,0,1,0,0
269,22276,0,1,0,0,0,1
316,22331,0,0,1,0,0,1
261,22573,0,1,0,0,0,1
1519,22848,0,0,0,0,1,0
1521,22848,0,1,0,0,0,1
1522,22848,0,1,0,0,0,1
9263,22848,0,1,0,0,0,1
4194,22861,0,1,0,0,0,0
4193,22863,0,1,0,0,0,1
4187,22867,0,0,1,0,0,1
4184,22868,0,1,0,0,0,1
2034,22870,0,0,1,0,0,1
2026,22870,1,0,0,0,0,1
2025,22870,1,0,0,0,0,1
2028,22870,1,0,0,0,0,1
425,23073,0,1,0,0,0,1
1729,23464,0,0,1,0,0,1
1968,23464,0,0,1,0,0,0
1961,23464,0,0,1,0,0,1
1962,23464,0,0,1,0,0,1
1963,23464,0,0,1,0,0,1
2098,23882,1,1,0,0,0,1
277,23882,0,1,0,0,0,1
2167,24707,0,1,0,0,0,1
2101,24707,0,1,0,0,0,1
2110,24707,0,0,1,0,0,1
2175,24707,0,1,1,0,0,1
2178,24707,0,1,0,0,0,1
25,24707,1,0,0,1,0,1
2061,25411,0,1,0,0,0,1
2060,25411,0,0,0,1,0,1
2067,25411,0,1,0,0,0,1
3295,25444,0,1,0,0,0,1
3294,25444,0,1,0,0,0,1
1588,25444,0,1,0,0,0,0
3293,25444,0,1,0,0,0,1
3290,25444,0,1,0,0,0,1
9602,25444,1,1,0,0,0,0
9603,25444,1,1,0,0,0,1
2679,25466,0,1,0,0,0,0
2679,25466,0,1,0,0,0,1
2680,25466,0,1,0,0,0,1
2264,25917,0,1,0,0,0,1
2265,25917,0,1,0,0,0,1
9932,26195,0,1,0,0,0,1
1649,26522,0,1,0,0,0,1
1652,26522,0,1,0,0,0,1
1650,26522,1,1,0,0,0,1
2108,26533,0,1,1,0,0,1
2109,26533,0,1,1,0,0,1
3301,26533,0,1,0,0,0,1
2095,26797,0,0,0,0,1,1
321,27017,0,1,0,0,0,1
2079,27314,1,1,0,0,0,1
464,27314,0,0,1,0,0,1
3631,27314,0,0,1,0,0,1
2078,27314,1,0,0,0,0,1
961,27369,0,1,0,0,0,1
1486,27369,0,1,0,0,0,1
3428,27369,0,1,0,0,0,1
798,27369,0,1,0,0,0,1
427,27369,1,0,1,0,0,1
3209,27545,0,1,0,0,0,1
9246,27545,0,0,1,0,0,1
263,28172,0,1,1,0,0,1
265,28172,0,0,1,0,0,1
4349,28507,0,1,0,0,0,1
3033,28744,0,1,0,0,0,1
3038,28744,0,1,0,0,0,0
3034,28744,0,1,0,0,0,1
3036,28744,1,0,0,0,0,1
273,28821,0,1,0,0,0,1
274,28821,1,0,0,0,0,1
4174,29228,0,1,0,0,0,1
2284,29360,0,1,0,0,0,1
290,29360,0,1,0,0,0,1
30008,30002,0,0,1,0,0,1
30011,30003,1,0,0,0,0,1
30013,30006,1,0,0,0,0,1
30027,30009,0,0,1,0,0,0
30027,30009,0,0,1,0,0,1
30045,30013,0,1,0,0,0,1
30087,30021,1,0,0,0,0,1
30142,30024,0,0,1,0,0,1
30176,30042,1,0,0,0,0,1
30183,30043,0,1,0,0,0,1
30185,30045,0,1,0,0,0,1
30101,30134,0,1,0,0,0,1
30102,30134,0,1,0,0,0,1
30171,30163,0,1,0,0,0,1
30154,30167,0,1,0,0,0,1
30155,30167,0,1,0,0,0,1
30156,30167,1,0,1,0,0,1
30168,30174,0,1,0,0,0,1
30150,30187,1,0,0,0,0,1
30151,30187,1,0,0,0,0,1
30189,30193,0,1,1,0,0,1
30192,30193,0,1,0,0,0,1
30191,30193,0,1,0,0,0,1
285,62559,0,1,0,0,0,1
286,62559,0,0,1,0,0,0
284,62559,0,1,0,0,0,1
3438,62560,0,1,0,0,0,1
3437,62560,0,1,0,0,0,1
30056,62562,1,0,0,0,0,1
30059,62562,0,1,0,0,0,1
30060,62562,0,1,0,0,0,1
30061,62562,0,1,0,0,0,1
246,62563,1,1,0,0,0,1
2280,62563,0,1,0,0,0,1
2279,62563,0,1,0,0,0,1
2922,62563,0,1,0,0,0,1
9262,62563,1,0,0,0,0,1
2176,62572,0,1,0,0,0,1
307,62573,0,1,0,0,0,1
704,62581,0,0,0,0,1,0
955,62582,1,1,0,0,0,1
954,62582,1,0,0,0,0,0
3219,62585,0,1,0,0,0,1
3217,62586,1,0,0,0,0,0
3297,62593,0,1,0,0,0,1
1214,11078,0,1,0,0,0,0
1215,11078,0,0,1,0,0,0
1216,11078,0,1,0,0,0,1
1223,11078,1,0,0,0,0,0
3658,11080,0,0,0,0,1,1
2923,21946,0,1,0,0,0,1
2924,21946,1,0,1,0,0,1
2927,21946,0,0,1,0,0,1
2929,21946,0,0,1,0,0,1
2926,21946,0,0,1,0,0,1
1461,23728,0,1,0,0,0,1
37,23728,1,0,0,0,0,0
9466,30073,0,1,0,0,0,0
1225,30073,1,1,0,0,0,0
1220,30073,1,0,0,0,0,0
1208,30074,0,1,0,0,0,1
1212,30074,1,0,0,0,0,0
1213,30074,1,0,0,0,0,0
1219,30077,1,0,1,0,0,0
1227,30080,0,1,0,0,0,1
9312,30080,0,0,0,1,0,0
1226,30084,0,1,0,0,0,1
2925,30098,0,1,1,0,0,1
2928,30098,0,1,0,0,0,1
2930,30098,0,1,0,0,0,1
